word_count,char_count,tech_skill_count,soft_skill_count,years_experience,education_level,unique_tech_skills,domain_finance,domain_tech,domain_healthcare,domain_legal,domain_education,domain_engineering,domain_sales,domain_creative,domain_hr,domain_hospitality,domain_aviation,domain_agriculture,domain_automobile,domain_apparel,domain_fitness,domain_bpo,domain_consultant,domain_banking,domain_public_relations,domain_digital_media
504,4066,2,1,0,3,2,1,0,2,1,9,1,7,3,5,2,0,0,0,1,1,3,0,3,3,1
475,4061,2,6,0,2,2,6,1,3,3,5,2,5,4,6,8,2,0,1,0,1,3,0,2,2,0
523,4548,2,2,10,2,2,5,1,0,3,1,5,3,3,6,1,3,1,1,1,0,2,1,5,2,1
423,3463,3,3,0,2,3,0,0,3,0,5,3,5,3,2,2,1,1,5,1,1,2,0,0,2,0
825,6840,2,3,10,3,2,6,2,5,2,12,0,4,5,7,1,0,0,2,1,1,3,2,5,4,2
514,4139,3,8,10,2,3,4,0,1,3,2,2,3,3,3,1,2,1,2,3,2,5,2,5,4,0
639,5120,2,2,0,0,2,10,1,0,8,4,1,3,3,5,1,1,1,1,1,1,3,1,6,1,1
560,4389,1,2,13,2,1,1,2,0,1,4,2,3,4,3,1,1,0,2,0,1,4,1,1,1,0
538,4247,2,4,0,2,2,3,0,1,0,2,1,3,4,7,2,0,0,1,5,3,4,2,3,5,2
675,5305,3,8,0,1,3,6,1,2,5,2,1,4,5,6,4,2,1,2,1,2,3,1,3,5,0
630,4849,1,2,0,1,1,1,0,1,1,4,2,2,3,3,12,1,0,0,1,2,3,1,0,3,0
339,2897,1,1,0,2,1,1,1,4,1,6,3,4,3,2,1,0,0,4,0,1,1,2,2,1,0
296,2360,2,0,20,1,2,0,1,0,0,4,7,2,3,3,0,1,0,2,0,1,1,1,0,2,0
549,4445,2,5,30,1,2,3,0,2,3,1,1,5,3,5,12,1,0,1,0,2,0,2,0,3,0
536,4478,2,4,0,2,2,0,1,0,0,8,10,2,4,2,0,2,0,3,1,1,2,0,0,2,1
1991,16948,2,7,0,3,2,2,0,8,4,8,3,6,6,3,1,1,0,2,2,4,3,1,4,3,1
626,5254,2,7,28,2,2,6,4,1,1,5,1,5,4,8,4,0,3,0,0,1,3,2,1,4,2
404,3446,2,5,0,3,2,11,2,0,1,3,1,2,1,5,0,0,0,0,0,1,2,1,6,1,1
580,4354,1,2,0,2,1,1,0,3,2,13,4,2,5,3,0,1,0,2,0,1,1,1,2,2,2
671,5707,2,5,0,3,2,2,2,3,1,5,3,0,2,5,2,1,0,1,0,1,2,0,1,4,1
478,3891,7,3,0,3,7,0,7,1,2,5,7,3,4,3,1,0,0,1,0,0,3,0,1,1,0
607,5090,2,5,0,2,2,4,0,2,2,5,5,7,2,5,1,0,0,2,2,2,3,1,7,3,2
552,4405,2,4,0,3,2,2,1,2,2,5,3,4,8,4,5,0,0,1,1,0,2,1,1,4,2
343,2849,1,3,0,0,1,3,2,0,2,3,1,11,2,0,3,1,1,0,1,0,1,1,5,3,1
504,4297,2,4,0,3,2,1,1,0,2,4,10,5,4,2,1,2,0,2,1,1,2,0,1,2,1
702,5596,1,7,20,2,1,7,1,1,2,4,0,10,2,7,1,0,0,0,1,1,3,2,10,2,0
534,4210,2,3,25,1,2,9,1,2,2,4,4,6,3,3,1,0,0,0,1,0,2,0,7,2,0
529,4594,2,7,0,2,2,3,0,1,3,12,4,3,4,4,0,1,0,1,0,1,2,1,3,2,1
751,6097,1,6,10,3,1,7,2,1,2,2,2,10,2,4,1,0,0,1,2,1,3,3,8,3,0
